iteration,bo_coverage_median,bo_coverage_q25,bo_coverage_q75,random_coverage_median,random_coverage_q25,random_coverage_q75,ef_median,ef_q25,ef_q75
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
11,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0
12,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0
13,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0
14,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0
15,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0
16,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0
17,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0
18,0.0,0.0,0.0,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0
19,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0,1.0,1.0
20,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,1.0,1.0,1.0
21,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
22,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
23,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
24,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
25,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
26,0.1,0.1,0.1,0.03333333333333333,0.03333333333333333,0.03333333333333333,3.0,3.0,3.0
27,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
28,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
29,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
30,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
31,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
32,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
33,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
34,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,5.0,5.0,5.0
35,0.2,0.2,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.0,6.0,6.0
36,0.2,0.2,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.0,6.0,6.0
37,0.2,0.2,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.0,6.0,6.0
38,0.2,0.2,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.0,6.0,6.0
39,0.2,0.2,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.0,6.0,6.0
40,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,7.0,7.0,7.0
41,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,8.0,8.0,8.0
42,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,8.0,8.0,8.0
43,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
44,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
45,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
46,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
47,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
48,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
49,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
50,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
51,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
52,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
53,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
54,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
55,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
56,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
57,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
58,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
59,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
60,0.3,0.3,0.3,0.03333333333333333,0.03333333333333333,0.03333333333333333,9.0,9.0,9.0
61,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,10.0,10.0,10.0
62,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,10.0,10.0,10.0
63,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,10.0,10.0,10.0
64,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,5.0,5.0,5.0
65,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,5.0,5.0,5.0
66,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,5.0,5.0,5.0
67,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,5.0,5.0,5.0
68,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,5.0,5.0,5.0
69,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.06666666666666667,0.06666666666666667,0.06666666666666667,5.5,5.5,5.5
70,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.06666666666666667,0.06666666666666667,0.06666666666666667,5.5,5.5,5.5
71,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.06666666666666667,0.06666666666666667,0.06666666666666667,5.5,5.5,5.5
72,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.06666666666666667,0.06666666666666667,0.06666666666666667,5.5,5.5,5.5
73,0.4,0.4,0.4,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,6.0,6.0
74,0.4,0.4,0.4,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.0,6.0,6.0
75,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.06666666666666667,0.06666666666666667,0.06666666666666667,6.5,6.5,6.5
76,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,7.0,7.0,7.0
77,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,7.0,7.0,7.0
78,0.5,0.5,0.5,0.06666666666666667,0.06666666666666667,0.06666666666666667,7.5,7.5,7.5
79,0.5,0.5,0.5,0.06666666666666667,0.06666666666666667,0.06666666666666667,7.5,7.5,7.5
80,0.5,0.5,0.5,0.06666666666666667,0.06666666666666667,0.06666666666666667,7.5,7.5,7.5
81,0.5,0.5,0.5,0.06666666666666667,0.06666666666666667,0.06666666666666667,7.5,7.5,7.5
82,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,8.0,8.0,8.0
83,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,8.5,8.5,8.5
84,0.6,0.6,0.6,0.1,0.1,0.1,5.999999999999999,5.999999999999999,5.999999999999999
85,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.1,0.1,0.1,6.333333333333333,6.333333333333333,6.333333333333333
86,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.1,0.1,0.1,6.333333333333333,6.333333333333333,6.333333333333333
87,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.1,0.1,0.1,6.333333333333333,6.333333333333333,6.333333333333333
88,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.1,0.1,0.1,6.333333333333333,6.333333333333333,6.333333333333333
89,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.1,0.1,0.1,6.333333333333333,6.333333333333333,6.333333333333333
90,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.1,0.1,0.1,6.333333333333333,6.333333333333333,6.333333333333333
91,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.1,0.1,0.1,6.333333333333333,6.333333333333333,6.333333333333333
92,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.1,0.1,0.1,6.333333333333333,6.333333333333333,6.333333333333333
93,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.1,0.1,0.1,6.333333333333333,6.333333333333333,6.333333333333333
94,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,4.75,4.75,4.75
95,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,4.75,4.75,4.75
96,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,4.75,4.75,4.75
97,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,4.75,4.75,4.75
98,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,5.0,5.0,5.0
99,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,5.0,5.0,5.0
100,0.7,0.7,0.7,0.13333333333333333,0.13333333333333333,0.13333333333333333,5.25,5.25,5.25
101,0.7,0.7,0.7,0.13333333333333333,0.13333333333333333,0.13333333333333333,5.25,5.25,5.25
102,0.7,0.7,0.7,0.13333333333333333,0.13333333333333333,0.13333333333333333,5.25,5.25,5.25
103,0.7,0.7,0.7,0.13333333333333333,0.13333333333333333,0.13333333333333333,5.25,5.25,5.25
104,0.7,0.7,0.7,0.13333333333333333,0.13333333333333333,0.13333333333333333,5.25,5.25,5.25
105,0.7,0.7,0.7,0.13333333333333333,0.13333333333333333,0.13333333333333333,5.25,5.25,5.25
106,0.7,0.7,0.7,0.13333333333333333,0.13333333333333333,0.13333333333333333,5.25,5.25,5.25
