iteration,bo_coverage_median,bo_coverage_q25,bo_coverage_q75,random_coverage_median,random_coverage_q25,random_coverage_q75,ef_median,ef_q25,ef_q75
1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
5,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.0,0.0,0.0,1.0,1.0,1.0
6,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,1.0,1.0,1.0
7,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,1.0,1.0,1.0
8,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,1.0,1.0,1.0
9,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,1.0,1.0,1.0
10,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,1.0,1.0,1.0
11,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
12,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
13,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
14,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
15,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
16,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
17,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
18,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
19,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
20,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
21,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
22,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
23,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
24,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
25,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
26,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.0,2.0,2.0
27,0.1,0.1,0.1,0.03333333333333333,0.03333333333333333,0.03333333333333333,3.0,3.0,3.0
28,0.1,0.1,0.1,0.03333333333333333,0.03333333333333333,0.03333333333333333,3.0,3.0,3.0
29,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
30,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
31,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
32,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
33,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
34,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
35,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
36,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
37,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
38,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
39,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
40,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
41,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
42,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
43,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
44,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
45,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
46,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
47,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
48,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,4.0,4.0,4.0
49,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.03333333333333333,0.03333333333333333,0.03333333333333333,5.0,5.0,5.0
50,0.2,0.2,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.0,6.0,6.0
51,0.2,0.2,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.0,6.0,6.0
52,0.2,0.2,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.0,6.0,6.0
53,0.2,0.2,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.0,6.0,6.0
54,0.2,0.2,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.0,6.0,6.0
55,0.2,0.2,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.0,6.0,6.0
56,0.2,0.2,0.2,0.03333333333333333,0.03333333333333333,0.03333333333333333,6.0,6.0,6.0
57,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,7.0,7.0,7.0
58,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,7.0,7.0,7.0
59,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,7.0,7.0,7.0
60,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,7.0,7.0,7.0
61,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,7.0,7.0,7.0
62,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,7.0,7.0,7.0
63,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,7.0,7.0,7.0
64,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
65,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
66,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
67,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
68,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
69,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
70,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
71,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
72,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
73,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
74,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
75,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
76,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
77,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
78,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,3.5,3.5,3.5
79,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,4.0,4.0,4.0
80,0.3,0.3,0.3,0.06666666666666667,0.06666666666666667,0.06666666666666667,4.5,4.5,4.5
81,0.3,0.3,0.3,0.06666666666666667,0.06666666666666667,0.06666666666666667,4.5,4.5,4.5
82,0.3,0.3,0.3,0.06666666666666667,0.06666666666666667,0.06666666666666667,4.5,4.5,4.5
83,0.3,0.3,0.3,0.06666666666666667,0.06666666666666667,0.06666666666666667,4.5,4.5,4.5
84,0.3,0.3,0.3,0.1,0.1,0.1,2.9999999999999996,2.9999999999999996,2.9999999999999996
85,0.3,0.3,0.3,0.1,0.1,0.1,2.9999999999999996,2.9999999999999996,2.9999999999999996
86,0.3,0.3,0.3,0.1,0.1,0.1,2.9999999999999996,2.9999999999999996,2.9999999999999996
87,0.3,0.3,0.3,0.1,0.1,0.1,2.9999999999999996,2.9999999999999996,2.9999999999999996
88,0.3,0.3,0.3,0.1,0.1,0.1,2.9999999999999996,2.9999999999999996,2.9999999999999996
89,0.3,0.3,0.3,0.1,0.1,0.1,2.9999999999999996,2.9999999999999996,2.9999999999999996
90,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,0.1,0.1,3.333333333333333,3.333333333333333,3.333333333333333
91,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1,0.1,0.1,3.333333333333333,3.333333333333333,3.333333333333333
92,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.1,0.1,0.1,3.666666666666666,3.666666666666666,3.666666666666666
93,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.1,0.1,0.1,3.666666666666666,3.666666666666666,3.666666666666666
94,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.13333333333333333,0.13333333333333333,0.13333333333333333,2.75,2.75,2.75
95,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.13333333333333333,0.13333333333333333,0.13333333333333333,2.75,2.75,2.75
96,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.13333333333333333,0.13333333333333333,0.13333333333333333,2.75,2.75,2.75
97,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.13333333333333333,0.13333333333333333,0.13333333333333333,2.75,2.75,2.75
98,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.13333333333333333,0.13333333333333333,0.13333333333333333,2.75,2.75,2.75
